INSERT INTO Customer (Id, SSN, Name, Address, Phone) Values (1, '145608290', 'Antonia Arletta', '868 Canterbury Drive', '7549978951');
INSERT INTO Customer (Id, SSN, Name, Address, Phone) Values (2, '708389451', 'Meredith Lieselotte', '180 Garfield Avenue', '0464686302');
INSERT INTO Customer (Id, SSN, Name, Address, Phone) Values (3, '621803798', 'Ruby Wendy', '975 Fairway Drive', '0780529367');
INSERT INTO Customer (Id, SSN, Name, Address, Phone) Values (4, '187404559', 'Aurelia Arletta', '843 Orchard Avenue', '0344524122');
INSERT INTO Customer (Id, SSN, Name, Address, Phone) Values (5, '655428780', 'Wendy Ronnie', '801 5th Street South', '8265154927');
INSERT INTO Customer (Id, SSN, Name, Address, Phone) Values (6, '798085915', 'Jasmin Christopher', '031 Bank Street', '1557193992');
INSERT INTO Customer (Id, SSN, Name, Address, Phone) Values (7, '755599130', 'Gonzalo Renata', '745 Hamilton Road', '0362871458');
INSERT INTO Customer (Id, SSN, Name, Address, Phone) Values (8, '988546450', 'Iluminada Loma', '114 Beechwood Drive', '4132131156');
INSERT INTO Customer (Id, SSN, Name, Address, Phone) Values (9, '590478240', 'Sharie Manda', '794 Main Street East', '5957830169');
INSERT INTO Customer (Id, SSN, Name, Address, Phone) Values (10, '395988686', 'Esta Sharie', '223 Route 29', '0936248321');
INSERT INTO Customer (Id, SSN, Name, Address, Phone) Values (11, '640311622', 'Jasmin Trinh', '080 Eagle Road', '7439305395');
INSERT INTO Customer (Id, SSN, Name, Address, Phone) Values (12, '080705524', 'Normand Hailey', '327 Schoolhouse Lane', '2084250619');
INSERT INTO Customer (Id, SSN, Name, Address, Phone) Values (13, '339529755', 'Aurelia Ronnie', '137 13th Street', '5738641158');
INSERT INTO Customer (Id, SSN, Name, Address, Phone) Values (14, '344389587', 'Justin Loma', '259 Garfield Avenue', '4436247210');
INSERT INTO Customer (Id, SSN, Name, Address, Phone) Values (15, '794735646', 'Pricilla Aaron', '812 Circle Drive', '3148173392');
INSERT INTO Customer (Id, SSN, Name, Address, Phone) Values (16, '584537837', 'Manda Lawana', '442 Main Street East', '1708220152');
INSERT INTO Customer (Id, SSN, Name, Address, Phone) Values (17, '184296593', 'Flossie Wendy', '836 Route 29', '0895125949');
INSERT INTO Customer (Id, SSN, Name, Address, Phone) Values (18, '351529217', 'Manda Manda', '577 Route 29', '3064109934');
INSERT INTO Customer (Id, SSN, Name, Address, Phone) Values (19, '879643815', 'Robert Jorge', '577 Overlook Circle', '2688732516');
INSERT INTO Customer (Id, SSN, Name, Address, Phone) Values (20, '813629972', 'Christopher Ronnie', '592 5th Avenue', '2804474191');
INSERT INTO Customer (Id, SSN, Name, Address, Phone) Values (21, '159099193', 'Christopher Flossie', '104 Route 202', '4563432802');
INSERT INTO Customer (Id, SSN, Name, Address, Phone) Values (22, '380337461', 'Ronnie Jasmin', '553 Route 29', '0137659528');
INSERT INTO Customer (Id, SSN, Name, Address, Phone) Values (23, '820383897', 'Esta Manda', '418 Highland Drive', '6333139366');
